,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-05-25,5,"ゲストさん"" ","
","
","
","
","
","
",いつもこのシャンプーを使っています。ここが安いので何度も利用しています。このシャンプーは頭皮にはいいのですが、髪が絡まって洗いにくいので、指通りが良くなるようなシャンプーと混ぜて使っています。頭が痒い方は、絶対購入したほうがいいです。
2020-05-23,4,"""ロ−ザさん"" ",https://review.rakuten.co.jp/my/MDJmZWFmZThlM2M3YTAxOQ__/1.0.0.1/,60代,実用品・普段使い,家族へ,はじめて,満足しております,"今回初めて買いましたが、値段も満足また、送料無料で大変満足しています。　

ありがとうございました。"
2020-05-19,5,"""さぁ8810さん"" ",https://review.rakuten.co.jp/my/MmI3ZmI4MDE5MzE4M2UxMw__/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,はじめて,父用,父の代わりに購入しました。これじゃないとふけや湿疹が出てしまうそうです。近所のドラッグストアで買おうとするとかなり高いので、こちらでお安く買えてよかったです！
2020-05-18,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,リピートです。,"脂漏性湿疹の私にはこのシャンプーが合っているようです。他の薬用シャンプーなども試してみましたがひどくなるばかりで結局こちらに戻ってきました。薬局では1個で2千円近くするので2個でこのお値段は本当にありがたいです。　

メール便ですので受け取りの手間も無く発送も早いので購入はこちらと決めています。"
2020-05-09,5,"""masamiyu8369さん"" ",https://review.rakuten.co.jp/my/MTQ1NTQyNDZjZTM5OWQxNA__/1.0.0.1/,60代 男性,実用品・普段使い,自分用,リピート,"
",今回２回目の購入ですが、素早い配送で満足しています。これからもリピートしようと思います。
2020-05-08,5,"""mizutama_mimiさん"" ",https://review.rakuten.co.jp/my/YjczYmYxY2JkMmE1N2E_/1.0.0.1/,40代 女性,"
","
","
","
","いつも購入してます。　

頭皮がかゆくならないのはこれしかなくて、薬局より安いし助かっています！"
2020-05-04,5,"""tmomosukeさん"" ",https://review.rakuten.co.jp/my/YjJkYTAxYTQ2NGJlNTk_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,"
","すぐに届きました！　

無くなりそうだったので助かりました。　

ありがとうございました。"
2020-04-30,5,"""amk_abitaさん"" ",https://review.rakuten.co.jp/my/ZTNjZWQ2M2Q3OTUz/1.0.0.1/,40代 女性,"
","
","
","
",家族の頭皮に欠かせないシャンプーで何度もリピート購入です。ポスト投函されてるので助かります。
2020-04-29,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,愛用品お手頃おすすめ,"発送も早く近くのドラッグストアよりお安いので何度か購入しています。　

また無くなりましたらリピします。"
2020-04-28,4,"""黒タヌキ白チワワさん"" ",https://review.rakuten.co.jp/my/NDgzYmQ2Mjc0MDM1N2QxOQ__/1.0.0.1/,40代 男性,実用品・普段使い,家族へ,リピート,"
",父に代わって購入。大変安価で購入でき満足です。個人差はあるでしょうが父は愛用してます。因みに父はスポーツ刈りです。
2020-04-18,5,"ゲストさん"" ","
","
","
","
","
","
","注ぎやすいようになっています。　

もうすこし容量が多いと嬉しいです。　

頭をよくかいていた子供がかかなくなりました。　

私も頭皮の痒みが落ち着いてきたように思います。"
2020-04-17,5,"""**さつま揚げ**さん"" ",https://review.rakuten.co.jp/my/OGZiYzRmNTlmYWY5MmIxOA__/1.0.0.1/,40代 女性,実用品・普段使い,子供へ,リピート,"
","安定のお品物です。　

皮膚の弱い子に使っています。"
2020-04-09,5,"""beansママさん"" ",https://review.rakuten.co.jp/my/MmIwZTM3ZDcwNDZiMzUxZQ__/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,リピート,リピートしています。,"夫のフケ対策のためにリピートしています。　

乾燥したフケタイプに良く効きます。"
2020-04-08,5,"ゲストさん"" ","
","
","
","
","
","
",頭皮が乾燥、痒くなりやすいですが、こちらを使うと軽減されます。ドラックストアより安く、メール便で受け取れるので助かっています。
2020-04-05,5,"ゲストさん"" ","
","
","
","
","
","
",ドラッグストアで買うよりとても安いです。皮膚科で試供品をもらってからずっとこちらを使っています。頭皮のかゆみがマシになります。ただ、髪が絡まるので、指通りが良くなるようなシャンプーと混ぜて使っています。
2020-03-18,5,"""ぷりん3874さん"" ",https://review.rakuten.co.jp/my/NjgxYzE3ZmVlMzllM2YxMQ__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,"
","ずっと乾性のフケに悩まされており、CMでやっているような普通のシャンプーでは、本当にどれもダメでした。　

思い切ってこちらに変えてみたところ、劇的に頭皮環境が改善され、髪をかきあげただけでパラパラ落ちていたフケが、全くと言っていいほどなくなりました。　

本当に本当に嬉しく、長年の悩みがなくなり、とても開放的な気分です。　

どんな方にも合うかは分かりませんが、フケで悩んでいる方がいたら、一度は使ってみて欲しいと思います。"
2020-03-18,2,"""いかっぺお父さんさん"" ",https://review.rakuten.co.jp/my/MjJjMDc1NWI5ODU2MjE_/1.0.0.1/,70代以上 男性,"
","
","
","
",何回かの購入ですが、家族中で喜んでます、また購入します。
2020-03-16,3,"ゲストさん"" ","
","
","
","
","
",肌に合わなくて残念,"発送はスムーズで良かったです。　

子供のフケ防止に購入しましたが、子供の肌には合いませんでした。　

いつも使ってたフケ防止シャンプーがとても値上がりしていたので、この商品は比較的安くレビューも良かったので、変えようと思いましたが残念です。。"
2020-03-16,5,"""amk_abitaさん"" ",https://review.rakuten.co.jp/my/ZTNjZWQ2M2Q3OTUz/1.0.0.1/,40代 女性,"
","
","
","
",楽天セールの時に繰り返し、購入しています。頭皮がデリケートな家族用のシャンプーです。
2020-03-15,5,"""るおるおさんさん"" ",https://review.rakuten.co.jp/my/YTg5YzRlZTQ5MDQwYWYxNQ__/1.0.0.1/,30代 男性,実用品・普段使い,子供へ,はじめて,無事届きました,いつも使ってますので、また無くなったらお願いすると思います。
2020-03-13,5,"""ha1さん"" ",https://review.rakuten.co.jp/my/M2VmN2E0NTFiNDY2MTM_/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,満足です,旦那さんの頭のフケに効果がありました。近所のドラッグストアよりお得に購入出来て助かります。
2020-03-11,5,"ゲストさん"" ","
","
","
","
",リピート,リピートです。,一年中、愛用しています。他に浮気すると、すぐに痒みとフケが再発してしまうほど、もう手放せないです。またリピート購入させていただきます！
2020-03-07,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,"
","
",敏感肌の自分に合ってる商品だと思います。
2020-03-06,5,"""kurione2000さん"" ",https://review.rakuten.co.jp/my/MjBiNmZkZTlhMDhhMjE_/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,何度目かのリピ,ずっと使ってて、やめられません。子供の頭皮の匂いが全く変わります。臭さが、無臭にはなりませんが刺激臭がしなくなります。フケも抑えられている気がします。またなくなったら買います。
2020-02-29,5,"ゲストさん"" ","
","
",実用品・普段使い,子供へ,はじめて,ドラッグストアより,"ドラッグストアよりお得に買えました。毎日シャンプーしていてフケなどはないものの頭皮の匂いが気になるようです。(臭いと言う匂いではありませんが…) 思春期で新陳代謝が活発なせいかな？　

このシャンプーを使うと明らかに匂いがなくなります。"
2020-02-23,5,"""charo034さん"" ",https://review.rakuten.co.jp/my/YzI1ZDg1OWRkMmEyMjcxNg__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,"
","これがないと 頭が痒くて痒くて…　

お安く購入できて 嬉しいです"
2020-02-22,5,"""けんどーら2000さん"" ",https://review.rakuten.co.jp/my/ZjYwMTdiOTIzZjJhNWU_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,痒みがでないのでリピート買い,"私が使ってきた今までのどのシャンプーよりも痒みがでないので、リピート買いしています。　

お値段は高めですが安心なので。"
2020-02-14,5,"""amk_abitaさん"" ",https://review.rakuten.co.jp/my/ZTNjZWQ2M2Q3OTUz/1.0.0.1/,40代 女性,"
","
","
",定期購入,家族がこのシャンプーでないと頭皮の調子が悪くなるのて定期的にこちらで購入しています。メール便発送で助かります。
2020-02-14,5,"ゲストさん"" ","
","
",実用品・普段使い,男性（彼、夫）へ,リピート,安いしふけが出なくなりました,季節の変わり目や、冬は特にカサカサしてしまい、フケや痒みがありましたが、これを使ってから、痒みもフケも無く、冬の辛い時期も赤みすらありませんでした！
2020-02-10,4,"""ちゃもたさん"" ",https://review.rakuten.co.jp/my/ZDRjNmM0ZmUwN2Y5NDk_/1.0.0.1/,40代 男性,実用品・普段使い,子供へ,はじめて,子供用に,初日はふけが出たみたいですがそれ以降は落ち着いています。
2020-02-06,5,"""turtle10さん"" ",https://review.rakuten.co.jp/my/ZmYzNmQxN2M1NGE3ODA_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,"
",疲れやストレスで頭皮湿疹が出るのですが、そんな時はこれ一択です。髪もしっとりするので乾燥する冬にも良いです。定価でしか入手できないと思っていたので安く見つけられて嬉しいです！
2020-02-03,5,"""さるこんぐさん"" ",https://review.rakuten.co.jp/my/YWI4NzZmZTdmMzcxM2QxMg__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,毎度お世話になっています,これがないと、頭皮がボロボロになってしまうので手放せません
2020-01-29,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
","注文から配達まで早いです。　

価格もドラッグストアーで買うより安く送料無料なので、またリピートします。"
2020-01-26,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
",医者の勧めで、リピートで使用しています。
2020-01-21,5,"""3939にっしさん"" ",https://review.rakuten.co.jp/my/YjU3NWFmMTRkOGFjOTY_/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,脂漏性湿疹にはこれが一番,"高校生の息子が他のシャンプーを使うとフケが気になるそうで、高いですがまた購入しました。　

こちらのショップは送料込みで一番お安く購入できます。"
2020-01-18,5,"ゲストさん"" ","
","
","
","
","
","
",定期的にこちらで購入しています。メール便で届くしこちらが一番お安いので助かります。
2020-01-10,5,"ゲストさん"" ","
","
","
","
","
","
",リピートです。思春期の息子が使っています。青いパッケージより、きしまないように思います。
2020-01-07,2,"""くろけまりさん"" ",https://review.rakuten.co.jp/my/OGJiYTI4ZWI5MzQwNGUxMA__/1.0.0.1/,30代 女性,"
","
","
",私には合わなかった…,フケが悪化しました…。痒みも出てきました…。2個セットなのに！笑
2019-12-31,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,早い！,"いつもこちらで購入しています！　

年末なのに、早い対応でとても助かりました！　

なくなったらまた買います！"
2019-12-24,5,"""まめたん☆ミさん"" ",https://review.rakuten.co.jp/my/YTI1ODQxZDEzMw__/1.0.0.1/,40代 女性,"
","
","
","
",夏用にさっぱりタイプを使っていましたが、乾燥時期なのでうるおいタイプに戻しました。アトピーの息子が使っています。こちらにして痒みが違うようです。
2019-12-14,5,"ゲストさん"" ","
","
","
",自分用,"
",何回かリピートしています,"刺激が少なく頭皮に良さそうで、気に入っています。　

メール便ですぐ届くので、なくなったらまた利用する予定です。"
2019-12-02,5,"""あきぷー。さん"" ",https://review.rakuten.co.jp/my/MWJmZjllNGEyNzI2NGExNw__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,リピート,"
","いつも対応が早くて大変満足です。　

今後とも継続して購入させていただきます。　

ありがとうございました。"
2019-11-14,5,"ゲストさん"" ","
","
","
",自分用,"
",ずっとリピします,"長年フケに悩まされてきましたが、　

このシャンプーに変えてからそれまでの悩みが嘘のようです。　

これからも使い続けます。"
2019-11-10,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,痒くならない,乾燥なのかシャンプーかわ逢わなかったのか今まで色々試してたどり着いたのが、皮膚科でサンプルを頂いて試して気に入ったこちらの商品でした。ちょっと高いな…と思うのですがやはり毎日快適に過ごせることを優先として何度も購入してます。
2019-11-09,4,"""りょうりさくみさん"" ",https://review.rakuten.co.jp/my/OWMwMTBlNDIxOTFlNWYxNg__/1.0.0.1/,40代 女性,"
","
","
","
",頭皮に問題ありですが、このシリーズを使うと落ち着きます！
2019-10-21,5,"""masamiyu8369さん"" ",https://review.rakuten.co.jp/my/MTQ1NTQyNDZjZTM5OWQxNA__/1.0.0.1/,60代 男性,実用品・普段使い,自分用,はじめて,"
","素早く配送していただき、ありがとうございました。　

早速使用しております。これからも無くなったらまたお願いします。"
2019-10-13,4,"ゲストさん"" ","
","
","
","
","
","
",家族がこのシャンプーでないと頭皮の状態がわるくなるというので、ずっと使い続けています。かゆみもおさえられています。詰め替え用が一番リーズナブルとはいえ、もう少しお安いといいぁ
2019-10-12,5,"ゲストさん"" ","
","
","
","
","
",いつも助かっています,"迅速に対応してくれます。ポストに投函してくれるので、安心して出かけられます。そして、お安いですよね。　

商品については、何度もリピートしています。普通にスーパーなどて売っているシャンプーを使うと、てきめんフケが出てしまう子どもが使っています。こちらを使うと、ピタッと止まり、髪の毛の状態も良いようなので、これがなくなると困ります。ありがとうございます。"
2019-10-12,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","ずっと使っています、敏感肌ですが洗い上がりサッパリ　

しますがパサつく事も髪がきしむことはないです。"
2019-10-05,5,"ゲストさん"" ","
","
","
","
","
","
",発送早く、丁寧な対応でとても満足です。また利用したいです。
2019-10-01,5,"""hakerunさん"" ",https://review.rakuten.co.jp/my/M2UwOGFkMGEyYTA3OWYxNA__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,乾燥肌に,"冬になると頭皮が乾燥して、フケ痒みが出ます。　

色々探してレビューを見て購入。　

３週間使い痒みがいつもより少なく、少量泡立ち良いので、コスパも良いです。　

冬にフケが少なくなるのに期待大。"
2019-09-30,5,"""chankei3825さん"" ",https://review.rakuten.co.jp/my/NDZjNDdmYThmYTJhNzU_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,"
",いろいろ試し、このシャンプーは痒くならない！ボトルを100均で買い、こちらにしました！
2019-09-30,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,"
","息子が以前、頭皮がカサカサになって皮膚科で診てもらったとき医師から勧められました。　

それから長年ずっと使っていますが、頭皮の調子はいいようです。"
2019-09-27,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",先日青い方を購入したのですが、少しキシキシするのでこっちを購入してみました。 まだ使用はしていませんが期待しています。
2019-09-27,4,"""Mskzさん"" ",https://review.rakuten.co.jp/my/NTNkMmIyYjc4MDI2MTE_/1.0.0.1/,70代以上 男性,実用品・普段使い,自分用,"
",頭皮保護用,以前から使っているものが切れそうなので、追加購入。問題ありません。
2019-09-26,4,"""Mskzさん"" ",https://review.rakuten.co.jp/my/NTNkMmIyYjc4MDI2MTE_/1.0.0.1/,70代以上 男性,実用品・普段使い,自分用,リピート,頭皮保護用,以前から使っているものが切れそうなので、追加購入。問題ありません。
2019-09-24,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","シャンプーでかぶれやすかったのですが これに変えてから ずいぶん 落ち着きました　

送料無料だったので 良かったです"
2019-09-22,5,"ゲストさん"" ","
","
","
",家族へ,リピート,"
",皮膚科やドラッグストアで買うよりだいぶお安くなっているので助かります。これに出会うまで頭の痒みで何度もシャンプーを変えていた主人のためにリピートです。
2019-09-17,5,"ゲストさん"" ","
","
","
","
",リピート,痒み、フケの悩みに,ちょうど切らしてしまい、別のシャンプーを使ったところ、すぐに痒みが出てきた時には、このシャンプーの良さを痛感したものです。ずっと使い続けます。
2019-09-14,5,"""らる太さん"" ",https://review.rakuten.co.jp/my/MTgzMzEyZDgzZA__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,主人用。,リピートです。他のシャンプーを使うとすぐにトラブルが出るのでこちらのシャンプーしか使えません。
2019-09-11,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,数年前から愛用しています,毎年冬になると乾燥して肌荒れを起こし、痒くなっていたので使い始めました。今は何のトラブルもない健康な頭皮ですが、時々切らしてしまって違うシャンプーを使っていると、やっぱり痒くなってくるのでこのシャンプーの効果を実感します。ただ、髪はかなりパサつくので、シリーズのリンス以外に毛先だけ他のトリートメントを使っています。家族みんなで使っているのでシャンプー代が高くつきますが、こちらは薬局と比べて断然安いので助かります。
2019-09-10,5,"ゲストさん"" ","
","
","
","
","
","
",家族がこのシャンプーでないと頭皮の状態がわるくなるというので、ずっと使い続けています。かゆみもおさえられています。
2019-09-08,5,"ゲストさん"" ","
","
",実用品・普段使い,子供へ,"
","
","子どもがアレルギー体質のため、薬局でいろいろなシャンプーのサンプルを貰いこれが一番良かったようで、リピする事に。　

薬局だと取り寄せで時間がかかると言われたので楽天で探しました。発送も早くて助かります。"
2019-09-07,5,"""KABUKI_913さん"" ",https://review.rakuten.co.jp/my/ZDgyY2FlNmUxZDA2MmMxNg__/1.0.0.1/,30代 男性,実用品・普段使い,自分用,リピート,"
","フケに悩み病院の医者から紹介されてから　

毎日使用していますのでストック用で購入です。"
2019-08-30,4,"""れんたろう１１１さん"" ",https://review.rakuten.co.jp/my/NjJiYzZhYmVjZjhmMjUxZA__/1.0.0.1/,60代 男性,実用品・普段使い,自分用,はじめて,いつものシャンプー,長くこのシャンプーを使用しています。持田製薬で、二種類有りますがこのタイプが、自分には合っています。
2019-08-24,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,"
","思春期の息子用に購入しています。　

これを使っていると頭皮の匂いが少なくなるように思います。"
