,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-10-23,5,"ゲストさん"" ","
","
","
","
","
","
","抜け毛は減らない…　

でも、頭皮はすっごくキレイになると思います　

お気に入りになりそうです♪"
2020-10-21,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,使用感,"市販のシャンプーを使っていたときは地肌のベタつきが気になってましたが、これを使い出して地肌をしっかりと洗えるので洗い終わりさっぱりします。　

使い始めて2週間ほどですが、髪のきしみもなく、くせ毛も少し落ち着いてきた気がします。　

またリピートさせていただきます。"
2020-10-20,4,"""遥海2185さん"" ",https://review.rakuten.co.jp/my/OGU0NDQ2NjM1ZjM5Y2U_/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,リピートしました,"1本目のシャンプーを使い終わったところでお得な大きめサイズのボトルの販売を発見迷わず購入しました。　

バサバサだった髪もサラサラに近づいてます、ずっと使い続けたいシャンプーです。"
2020-10-16,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,初めて購入,"細毛で直ぐ痛み切れ毛になったり　

最近抜け毛もあり購入しました。　

まだ使いはじめですが　

匂いも良い,洗い心地も良い,　

毛先のゴワつきもなくなり,　

続けて行きたいです。"
2020-10-12,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","このシャンプーを使用したら、地肌がとても軽くすっきりとしてきました。　

今まで色々な商品を試してみた中で、一番良かったです！　

トリートメントは補修効果が高いのか、広がりやすい髪もよくまとまり　

お手入れがしやすくなってきました。香りも癒されます。　

続けてみたいと思います。"
2020-10-11,5,"ゲストさん"" ","
","
",実用品・普段使い,女性（彼女、妻）へ,はじめて,"
",これから毎日使用するのが楽しみです。良かったらリピートしていきたいと思います。
2020-10-08,5,"""akarin1016さん"" ",https://review.rakuten.co.jp/my/NTIzNWVhMWZmYzY2Y2I_/1.0.0.1/,40代 女性,"
","
","
","
","発送もすばやく、大変ありがたいです。　

匂いがとってもいい香りで、洗っていて心地よいです。"
2020-10-07,5,"""文旦&amp;小夏さん"" ",https://review.rakuten.co.jp/my/ZjI5OWFkNWNkZjhiYTUxOQ__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,"
","凄いクセ毛で縮毛矯正をし続けた結果、髪の毛は切れ絡み修復不可能の状態でしたが　

このシャンプーに出会い、うねりパサつきが収まり櫛も通るようになりました。"
2020-10-05,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","何度かリピートしてます。　

リニューアルして量が増えたり詰め替え用が　

出たのが助かります！　

やっと自分に合うシャンプー・トリートメントが　

見つかりました。"
2020-10-05,5,"""ぐれっぐるぐるさん"" ",https://review.rakuten.co.jp/my/ZjllZjg4NDM1NGEyYTI_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,リピです,"洗い上がりもさっぱりで香りも良いです。　

トリートメントは美容院で買っているものがあるので次はシャンプー二本セットを買おうかと思います。"
2020-10-04,4,"""チョロ子1644さん"" ",https://review.rakuten.co.jp/my/NDcyZDRjYmJiMzJk/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,"
","抜け毛が気になり購入しました。　

効果は、まだわかりませんが、洗い心地はいいので、しばらく使ってみようと思います。"
2020-10-03,5,"ゲストさん"" ","
","
","
","
","
","
",発送も早く、とてもいいにおいです♪これからも使っていきたいとおもいます。
2020-10-03,5,"""ぺんちゃん1793さん"" ",https://review.rakuten.co.jp/my/YWJiMTFlZDA5NmNiNTYxYQ__/1.0.0.1/,20代 女性,"
","
","
","
","毛先がまとまらず、ゴワゴワしていましたが　

この商品を使い始めてまとまりのある髪の毛になりました。　

さわり心地もサラサラです。　

これからも継続して使用していきたいです。"
2020-10-03,4,"""ひろし@か弱い乙女（笑）さん"" ",https://review.rakuten.co.jp/my/MmYzNDZkOTUxODgyNDUxYg__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,匂いは精油っぽい,"精油っぽい感じの匂いで、好き嫌いが分かれる匂いです。　

私は精油の匂いは少し苦手で、使ってるうちに慣れてきたので大丈夫でした。　

 　

買ったあとに量が増えて少し残念でした。　

匂いが慣れたとはいえ、精油系の匂いが好きな香りではないので、リピは使いきったころに考えたいと思います。"
2020-10-02,4,"""遥海2185さん"" ",https://review.rakuten.co.jp/my/OGU0NDQ2NjM1ZjM5Y2U_/1.0.0.1/,50代 女性,"
","
","
",良い香り,"1本目が使い終わります。髪の毛がサラサラになってきました。洗っている時や朝起きた時、良い香りがします。　

シャンプーは泡立ちがとても良いです。　

ポイントアップなどのお得な時にリピートしたいです。"
2020-10-01,5,"""ぽ3287さん"" ",https://review.rakuten.co.jp/my/ODM5Y2RhMWIwNGE3NzAxNw__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,香りに癒されてバスタイムの気分があがる！,30代になって分け目の薄さが気になり出しました。そんな時にシャンプーを探している中口コミのよさで試してみたところ。まず、香りのよさが好みにぴったりあったことと、汗をかいても１日仕事をして家に帰っても嫌な匂いがしないことがお気に入りです。洗い上がりもつるんとしていてブローの時もちゃんとまとまります。大容量が出たと言うことでリピ確定です！
2020-09-30,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,いい感じです◎,友人が使っていたのを試させてもらったら、自分の髪質（ブリーチ毛、細毛、くせ毛）にピッタリで、購入しました！産後ではないですが抜け毛が気になるので、使い続けて効果が出るか様子を見てみたいです。
2020-09-30,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,とてもいいです！,市販のシャンプーから買えました。泡立ちも申し分なく、精油のようなナチュラルな香りがとても癒されます。さらさらしっとりしますので、寝癖もつきにくいです。リピートしたい商品です！
2020-09-30,5,"ゲストさん"" ","
","
","
","
","
","
",ツヤツヤ、さらさらになり、あたしには合ってました。美容室で高いシャンプーを使っていたけどこっちに切り替えようと思います。泡立ちもよく、匂いや洗い心地かやさしーい感じです。
2020-09-29,4,"""naemaさん"" ",https://review.rakuten.co.jp/my/OWQ2ZjUxMzljNjkxNDAxNA__/1.0.0.1/,60代 女性,実用品・普段使い,自分用,はじめて,まだ使用しておりませんので,"今回レビュー見まして良さそうでしたし、私の毛質が天然パーマ、シャンプー後ドライヤーすると　

広がりまとまりがなく、困ってました。　

おやすく購入出来ましたし有難うございました。　

髪に合うと嬉しです。"
2020-09-29,4,"""Ran5329さん"" ",https://review.rakuten.co.jp/my/NzZjNTQzN2U4YTYyOWUxNA__/1.0.0.1/,50代 女性,"
","
","
",かなり良いです♪,"自分用に購入したのですが、敏感肌の娘も気に入り2人で使用しています。　

泡立ち良くシャンプーだけでもきしみません。　

夜になっても頭皮のベタつきも無くかなり良いです！　

大容量が出たのでしばらく2人で愛用します。"
2020-09-25,5,"ゲストさん"" ","
","
","
","
","
","
",直ぐに届き助かりました。寝癖がつきにくくなり、気に入ってます。
2020-09-25,5,"""namm_____loveさん"" ",https://review.rakuten.co.jp/my/Zjg1YWUwOWNjNTM1ZGE_/1.0.0.1/,30代 女性,"
","
","
",おすすめ！,ごわついていたわたしの髪の毛、キシキシパサパサだった3歳娘の髪の毛も、スルスルになりました。香りもそこまできつくなく、ちょうどいいです。泡立ちも良かったので、リピートしますね！
2020-09-24,4,"""柚子618さん"" ",https://review.rakuten.co.jp/my/MjdkYWNhN2M5Nzg3MjIxMQ__/1.0.0.1/,40代 女性,"
","
","
","
","もう何本目だろう…変えれません。　

リニューアルしたのも早く使ってみたいです。"
2020-09-22,5,"ゲストさん"" ","
","
","
","
","
","
","このシャンプー使うとサラサラになります。　

洗ってる時は香りが良くて乾くとほぼ消えてくれるので強い香りが苦手なのでお気に入り。　

何度かリピートしてますがこれからもしばらく使うつもりです。"
2020-09-21,5,"ゲストさん"" ","
","
","
","
","
","
","1本使い切って2本目のリピートです。　

抜け毛が多く、分け目やつむじが気になってきたので購入しました。　

使い始めは抜け毛が少し減ったかなぁという感じでしたが、1本使い切った頃には、排水溝にいっぱいだった抜け毛が半分ぐらいに減りました。　

泡立ちもとてもいいです。　

乾かした後はサラサラでふわふわな手触りです。　

匂いはオーガニック系で、小学生の娘はめちゃくちゃいいにおいと言っています。　

私は最初、草っぽい匂いが苦手でしたが、使っていくうちに慣れました。　

好みがあると思いますが、ハーブ系の匂いが好きな方にはとてもいいと思います。　

1本目は一人で使い切ったけど、とてもいいシャンプーなのでこれからは家族で使おうと思います。"
2020-09-21,4,"ゲストさん"" ","
","
","
","
","
","
","リニューアル前のものを使用。(シャンプー・トリートメント共に天然成分100％)　

初めて使用したときは甘さのない香りをあまり受け付けられず、再購入はないかなと思っていました。　

しかし、それも数回使っていくうちに慣れてきて、使用感もいいのでまた購入したくなりました。シャンプーの泡立ちが良いです。余計なものが入っていないのだと思うと気持ちよく洗えます。甘い香りが欲しくなったらヘアオイルで補えばいいと思います。　

トリートメントの改良をされたそうですが、私はこのままでも問題ありませんでした。　

天然成分100％でなくなってしまうのは惜しいなぁと思いました。　

ただ、レビューの声をもとに商品の見直しをされたのは好感が持てます。"
2020-09-14,5,"ゲストさん"" ","
","
","
","
",リピート,"
",ロングヘアを綺麗に保ちたく洗い心地の良いシャンプーを探し、こちらを見つけて以来3回目のリピートです。柔らかい泡がお気に入りです。
2020-09-13,5,"""akarin1016さん"" ",https://review.rakuten.co.jp/my/NTIzNWVhMWZmYzY2Y2I_/1.0.0.1/,40代 女性,"
","
","
","
",月の満ち欠けのお話に魅力を感じ購入してみました。まだ使っていないので、これから楽しみです。
2020-09-10,5,"""yuyuyu7669さん"" ",https://review.rakuten.co.jp/my/ZTlhNjQzMmYyYmIxMjExMg__/1.0.0.1/,30代 女性,"
","
","
","
",洗い上がりがさっぱりで泡立ちもよく匂いもよかったです。毎日使い続けて効果を確かめたくなりました。
2020-09-10,5,"ゲストさん"" ","
","
","
","
","
","
",最初はごわごわする感じがして、匂いも美容院の匂いで気になりましたが、使っていくとサラサラで寝癖もつきにくくなりました。
2020-09-10,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","娘と一緒に使ってます。　

朝起きて髪の毛の状態が凄くいいです。　

気に入っています。"
2020-09-08,5,"""pp.zhuさん"" ",https://review.rakuten.co.jp/my/YTc5YmYyZGY5YTcwMjgxZQ__/1.0.0.1/,30代 女性,実用品・普段使い,"
",はじめて,髪ツルツルになりました,シャンプーは良かったです、お陰様で髪はとってもツルツルになりました。
2020-09-08,4,"""happy_ichigoさん"" ",https://review.rakuten.co.jp/my/OTRiYzI3ODcyM2ViYjYxMw__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,"
",髪がパサついてきたので購入してみました。けっこうツルツルになりました。
2020-09-07,5,"""きゃー0714さん"" ",https://review.rakuten.co.jp/my/NTU4NzM1NGNmMDU4/1.0.0.1/,40代 女性,"
","
","
","
",いいにおいです、格安で買えてありがたいです
2020-09-06,5,"ゲストさん"" ","
","
","
","
","
","
",洗いあがりがサッパリしています。香りもよいです。
2020-09-05,4,"ゲストさん"" ","
","
","
","
","
","
",少量で泡立ちも良く、すすいでいる時も絡まないので良いです。何度もリピート中です。
2020-09-03,4,"ゲストさん"" ","
","
","
","
","
","
",泡立ちも香りも良く愛用しています。容量が少ないところがマイナスポイントでしたが今後、量が増えるということでとても嬉しいです。
2020-09-02,5,"""ぐれっぐるぐるさん"" ",https://review.rakuten.co.jp/my/ZjllZjg4NDM1NGEyYTI_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,"
","
","最初見たときはボトルが小さいと感じましたが、少量でも泡立ちが良くスッキリ洗い上がるので、持ちは良いと思います。またリピしたいと思います。　

今使っている整髪料がゼラニウムの香りなので、香りの相性も良いです。"
2020-08-31,4,"ゲストさん"" ","
","
","
","
","
","
","子供と一緒に使ってます！　

詰め替え用があるといいのですが…。"
2020-08-24,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,思ったより小さい！,"サイズが小さくてびっくり！笑　

でも泡立ちがいいし、久しぶりに合ったシャンプーに出会えた気がします！使い切るのが楽しみです"
2020-08-23,4,"ゲストさん"" ","
","
","
","
","
","
","オーガニックの香りが気に入っています　

リラックスさせてくれています"
2020-08-22,4,"""南京の煮つけさん"" ",https://review.rakuten.co.jp/my/NmNlODE5YmZhNWI0NmQxYQ__/1.0.0.1/,50代 女性,"
","
","
",アンチエイジング目指して導入,"アンチエイジングを目指して頭皮の状態を良くしたく初購入です。　

ありがちなシャンプー後のきしみなどは気になりませんでしたし、洗い上がりもさっぱりです。　

匂いがとても好みで癒されます。　

使い始めたばかりなので、効果はこれからになりますが楽しみです。"
2020-08-20,5,"""ｈｃｆｌ2aさん"" ",https://review.rakuten.co.jp/my/YzM5MjBmMjk1NWNkMjU_/1.0.0.1/,30代 女性,"
","
","
","
","泡立ちも匂いも良かったです！　

リピしたい(^^)"
2020-08-19,4,"""走物語さん"" ",https://review.rakuten.co.jp/my/NmM1ZDgzNzJjZmRlYmQxOQ__/1.0.0.1/,"</span>
                            <span>購入者","
","
","
","
","2回目の購入です。　

泡立ちがいい上、流した後のしっとりさと柔らかさに感動です。　

これからも続けて行きたいと思います。　

詰め替えがあればいいなと期待を込めて&amp;#11088;4つにしました。"
2020-08-16,3,"ゲストさん"" ","
","
","
",自分用,はじめて,匂いは良い、効果は不明,好きな香り、泡立ちも良い。抜け毛に関してはその効果はわかりません。今のところ、抜け毛の量は変わらないので、リピするか？もう少し様子みてからですかね。
2020-08-15,5,"""りんほいさん"" ",https://review.rakuten.co.jp/my/MTJmNDllN2RkNTQyMmY_/1.0.0.1/,30代 女性,"
","
","
",大満足！,香りもよくて、リラックスできます！泡立ちもよく、非常満足しています！
2020-08-12,5,"""つばめ858さん"" ",https://review.rakuten.co.jp/my/MjNiZDFiM2YzMGM0MjkxOA__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,"
",サラサラ,最近髪がパサついていたので、レビューを参考にして購入しました。1回使っただけでサラサラになり、髪どめが落ちてくるほどです。一度トリートメントを忘れてしまったことがあったのですが、それでもサラサラでした。
2020-08-10,4,"""ぷら６７さん"" ",https://review.rakuten.co.jp/my/MjA4ZmIwNTgxMDQ0/1.0.0.1/,50代 女性,"
","
","
","
",夜洗って、朝起きたときにいままでのシャンプーとの違いを感じました。髪が少し柔らかくなった気がします。またリピートさせてもらいます。
2020-08-09,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","自分に合う物がみつかり、何度かリピしてます。　

詰め替え用があればいいなぁと思います。"
2020-08-09,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,香り,香りも良くキシキシしません。洗い上がりもよくてリピします！
2020-08-02,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,"
","何を使っても満足しなかった父がほめています。　

洗い上がりも良いみたいなので、これからも購入し続けてあげようと思います。"
2020-08-01,5,"""購入者66477141さん"" ",https://review.rakuten.co.jp/my/ZTFmNWZiOGE5ZWMxNDIxMA__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,リピート,"
",もうずっとこのシャンプーを使っています。気にいってリピートがやめられません。ただ、量が少ないのですぐなくなります。いつもレビューに書いていますが、詰め替え用を作ってほしいです。
2020-07-31,5,"ゲストさん"" ","
","
","
",自分用,"
",しっとりまとまります。,香りが優しくて しっとりするので凄く好きです。ストックは、なかなか出来ないけど 無くなる前には 購入してます。
2020-07-31,4,"""たつ0927さん"" ",https://review.rakuten.co.jp/my/M2EyMTY3ZTYxNTI1OTMxOQ__/1.0.0.1/,60代 女性,"
","
","
","
",まだ使用してませんが、レビューが良かったので購入しました。うねりや、クセの強い私の髪がどう変わるか楽しみにしています。
2020-07-27,3,"""薬師丸6398さん"" ",https://review.rakuten.co.jp/my/MzQwMWYxNmFkNDdlYzM_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,良い香り,"まだ使えていませんが、香りは素敵です。　

思ったより小さいかったです（容量を確認してませんでした）　

使うのが楽しみです"
2020-07-26,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,すごくいいです,"今まで色んな商品を試し、どれもあまり変わらずガッガリすることが多かった私ですが、これはノンシリコンなのに洗っている時から泡細かく潤っている実感があります。香りもアロマみたいに癒やされます。　

これからもリピートするつもりです。"
2020-07-26,4,"""pkf16さん"" ",https://review.rakuten.co.jp/my/ZTBkNzFkODMyMjQ2NWYxNw__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,"
","使ってビックリ！　

シャンプーした後が一番驚きました！　

リンスしたかのように髪がなめらかで本当に驚きました。　

匂いはハーブのような？オーガニックの強い香りがしますが、気になりません。　

髪を乾かしたあとも跳ねることなくまとまってツヤサラになったのでリピート決定！　

ただ私の場合皮脂が多いタイプなので、シャンプーともに地肌に使うとベタベタになりそうなのが難点です。"
2020-07-25,2,"ゲストさん"" ","
","
","
","
","
",匂いは◯,匂いはそんなに嫌ではないのですが、トリートメント後キシキシするのが気になります。元々の髪質のせいかもしれませんが、サラサラをイメージしてたので少し残念でした。
2020-07-15,4,"""柚子618さん"" ",https://review.rakuten.co.jp/my/MjdkYWNhN2M5Nzg3MjIxMQ__/1.0.0.1/,40代 女性,"
","
",リピート,"
","レビュー遅くなりました。　

去年の7月に出産してから髪で悩みこのシャンプー&amp;トリートメントに出会いもうずっと使ってまはし。発送も早く助かってます。"
2020-07-15,5,"""ぱたぱた　ママ　さん"" ",https://review.rakuten.co.jp/my/ZTdiMGJlY2I2NDM1/1.0.0.1/,50代 女性,"
",自分用,"
","
",梅雨の時期は髪が爆発して広がってしまいますが、今のところは、いつもより抑えられています。洗い上がりも香りも満足してのリピート購入です。
2020-07-10,4,"""マリン0800さん"" ",https://review.rakuten.co.jp/my/Zjc0ODA4MDE1MjRmOTExOQ__/1.0.0.1/,40代 女性,"
","
","
","
","香りがとても良かったです。　

しっとり仕上がります。"
2020-07-10,5,"""山梨さん5369さん"" ",https://review.rakuten.co.jp/my/YTY5Yjk3ZjI2OTY0OTAxNg__/1.0.0.1/,40代 女性,"
","
","
","
",ノンシリコンとは思えないくらいに指通りがよく気に入っています。
2020-07-09,5,"""さと338355さん"" ",https://review.rakuten.co.jp/my/MjY5NWI1MjUwMmQ3MjQxYQ__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,"
","無添加シャンプーを探していて、見つけました！　

ゼラニウムの香りシャンプーのたび、癒されます。そして梅雨どきのゴワゴワして広がる感じが全然無く、さらさら、しっとりで自分の髪の毛じゃないみたいです。"
2020-07-06,2,"ゲストさん"" ","
","
","
","
","
","
",シャンプーの泡立ちや香り、洗い上がりは最高なのですが、トリートメントの効果はまったく感じられません。ダメージヘアでもないのに、ヘアオイルを使用しないと毛先がパサついたり絡まったり……。トリートメントを使い忘れたかと思うほどで、うねりやボリュームもそのままでした。シャンプーが最高なだけにとても残念。
2020-07-06,4,"""カワウソ親子さん"" ",https://review.rakuten.co.jp/my/OTQwODQ4Y2JhZTFmNzUxMg__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,"
","香りが良く癒されます。　

シャンプーによっては痒みが出たりする方ですが、特にそういうこともなく泡立ちも良いです。　

トリートメントは、しっとりとした感じに仕上がります。"
2020-07-05,5,"""あみかずくーたんさん"" ",https://review.rakuten.co.jp/my/NjJmMWQ2NzVmZDMwNjYxYg__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,"
","匂いも良かったです。　

初めて使用しましたが、リピートしたいと思います。　

もう少し使い続けてみたいと思いました"
2020-07-05,4,"""ろーら9533さん"" ",https://review.rakuten.co.jp/my/YzYwNDEwZTBiNGExYmMxZQ__/1.0.0.1/,50代 女性,"
","
","
","
","可愛いパッケージです。届いて思っていたより小さくてびっくり&amp;#128064;でしたが(笑)　

まだ使い始めなのでこれからの髪が楽しみです&amp;#128522;今のところパサつきも感じずいい感じです。使い続けてよかったら1000円クーポン券利用させてもらいます&amp;#128513;"
2020-07-03,4,"ゲストさん"" ","
","
","
","
","
","
",頭皮のニオイが気になり、こちらのセットを購入しましたが使い続けるうちにニオイがあまり気にならなくなりました。
2020-06-30,3,"""きまじめくんさん"" ",https://review.rakuten.co.jp/my/M2Q2YTc5MWExODAwNTMxZA__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,根元はフンワリで良いと思います。,"香りも好きです。泡立ちも良く、髪の毛？頭皮の臭いもスッキリと無くなり良いと思います。根元もフンワリして良いと思うのですが、シャンプーの後、私の髪質ではきしみが気になりました。　

ドライの時に洗い流さないトリートメントなどしておかねば、髪の毛はゴワゴワになってしまいました。"
2020-06-25,4,"ゲストさん"" ","
","
","
","
","
",リピートしてます,"３度目の購入です。香りも泡立ちも気に入って６歳の娘と使用中です。先日、気になっていた主人も実は使っていたと話を聞きました。朝のスタイリングで髪が違うようで、もともと使っていたシャンプーから乗り換えたようです。　

こちらのシリーズで濃厚なヘアパックも出てくれたら嬉しいですね☆　

☆について、家族で使うことを考えると量と価格で☆５にはできませんでした。"
2020-06-14,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","4度目のリピートになります。　

今までいろいろなシャンプー＆トリートメントを　

使ってきましたがなかなか満足できずにいましたがこのシャンプー＆トリートメントを使い出してからは、潤いと髪質がおちついてきました。　

やっと自分にあう物に出会えました。"
2020-06-13,5,"""めっ9218さん"" ",https://review.rakuten.co.jp/my/OWFiMTNmNmViOGE0NjQ_/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,はじめて,"
",娘のため購入しましたが私も一度使うととても良かったので一緒に使っています。おしゃれなパッケージにひかれ偶然見つけた商品でしたが大のお気に入りに。またリピしたいです。
2020-06-10,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,香りがしつこくない,"リピです！　

トリートメントがサラサラになりますー！！"
2020-06-10,5,"""サチコ1122さん"" ",https://review.rakuten.co.jp/my/NzgwMDMyZTlmMjg3NDA_/1.0.0.1/,40代 女性,"
","
","
","
",ハイトーンカラーですがしっとりサラサラに落ち着きます！
2020-06-08,4,"ゲストさん"" ","
","
","
","
","
","
",今まで色々なオーガニックシャンプーを試してきましたが、泡立ちが良く香りも良くてとても満足しています。ボトルがもう少し大きくて詰め替えがあれば尚良いと思います。
2020-06-05,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,梅雨時期でも ボリュームおさまります。,オーガニックなのに キシキシしない。うるつやな所が凄く気に入ってます。同じシャンプーを続けて購入する事が少ないのですが こちらのシャンプーは これで3回目になります。また、注文したいと思います。
2020-06-02,4,"ゲストさん"" ","
","
","
","
",リピート,"
","4本目！使い続けていると、髪にハリがでてしっかりしてきたように思います。　

シャンプーの泡立ちがいいので、さっぱり洗い上がって気持ちが良いです♪"
2020-05-31,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,いいです！,"とても匂いが良くて、毎日癒されます！　

しばらくリピしようと思います。"
2020-05-29,4,"""シロネコ2014さん"" ",https://review.rakuten.co.jp/my/NzdjNjdmYTM5YjlkNzQ_/1.0.0.1/,40代 女性,実用品・普段使い,子供へ,はじめて,"
",ラウリル酸フリーにひかれて購入しました。思ったより小さくてビックリしましたが、使い心地は最高です。髪もしっとりして、細い髪の子供にもからまず良いです。ただお値段がなかなかなので星マイナス1です。
2020-05-27,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,いい香りです,"香りがよく髪の毛もサラサラになります。　

内容量がもう少し多かったらと、詰替があればエコだと思い、-&amp;#11088;です。"
2020-05-23,5,"ゲストさん"" ","
","
","
","
","
","
",配送も早く、使用感も満足しています。髪にボリュームが出てきてリピートします。
