,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2019-02-10,5,"""伝助038/dnさん"" ",https://review.rakuten.co.jp/my/MDUxZDhmOWM1YzMxMzUxYQ__/1.0.0.1/,60代 男性,実用品・普段使い,自分用,リピート,リピ購入です,"シャンプー（+トリートメント）のいいもの探しで、昨年8月に試し購入し、まぁまぁな感じでしたが、リピしました。選択肢は”ダメージケア”（ダメージ補修でまとまる髪に）か”モイスト”（潤い補修でサラサラ髪に）の2つでしたが、モイストを選びました。　

使ってみた感想ですが、シャンプーは透明でジェル状、泡立ちはそこそこ、ノンシリコンながらきしみがない洗い心地で、指の通りも良し。トリーメントは白色・固めで、洗った後は、サラサラ感に少ししっとり感が混じった感じ、保湿性あり、香りは曖昧で特徴なし。また、ラベルを含むボトルデザインとカラーリングがおしゃれで好きです。　

全体として、嫌なところがなく、コスパがいいと思います。また、下記記載の約束事があるのも、髪の健康にとって安心・安全だと思います。　

ダイアン系シリーズは沢山あるので、追々違ったものを使ってみたくなりました。　

−−−−−　

■ダイアンボタニカル 14の約束（商品説明より）　

1.シャンプーはシリコンフリーであること。　

2.サルフェートフリーであること。（ラウレス硫酸Ｎａなど）　

3.パラベンフリーであること。　

4.合成色素フリーであること。　

5.鉱物油フリーであること。　

6.石油系界面活性剤フリーであること。　

7.エタノールフリーであること。　

8.商品の90%は天然由来成分でつくること。（水を含む）　

9.配合する原料は動物実験をしていないこと。　

10.商品の製造においても動物実験をしていないこと。　

11.植物性原料を使用して、可能な限りオーガニック原料を採用すること。　

12.シャンプーは植物性洗浄剤(アルガン、シアバター、アミノ酸系洗浄成分）を使用すること。　

13.動物性原料フリーであること。（微生物由来原料やはちみつは除く）　

14.すべての商品はヒトパッチテストを行うこと。"
2019-01-13,4,"""のりこ4038さん"" ",https://review.rakuten.co.jp/my/ZTQyZmM2MGZiMDM3NjkxOQ__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,"
",いい香りでさらさらになります。まだつかいはじめたばかりです。頭がふけが出やすいのですが今のところ大丈夫。
2019-01-04,4,"""ミル216さん"" ",https://review.rakuten.co.jp/my/ZjRmYzg3ZDdlZWM0NGUxYg__/1.0.0.1/,50代 女性,"
","
","
","
",近所のドラッグストアーで品切れだったので、楽天で購入しました。注文して直ぐに届きました。
2018-11-12,4,"""Reeeee8131さん"" ",https://review.rakuten.co.jp/my/NTgxYWMxMzgzODM2OTAxNg__/1.0.0.1/,50代 女性,"
",自分用,"
",モイストよりいい感じ,今、モイストダイアン・ボタニカルのモイストタイプを使っていますが、毛先が死んでいるので広がってしまうため、ダメージタイプを購入しました。まだモイストが残っているのですが、レビューを書くために使いました（笑）モイストよりも広がらず、毛先のパサつきも少なくなりました。香りもすごく好きで、翌日もふわっと香っています。これからも使い続けてみようと思います。
2018-10-19,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",本体が欲しくて買いました。市販ではなぜか、詰め替え用しか置いてなくて、買えなかったけど、こちらでセットで購入出来て良かったです。ダメージ用を購入。クチコミも良いし、家族や親戚の人も使って評判いいので、私も使ってみます。
2018-09-20,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",いい匂いで、紙もきしまないのでとても良かったです。またリピします！
2018-09-04,5,"ゲストさん"" ","
","
","
","
","
",すごくイイ,モイストの方を購入しました。ネットで「硬い髪がやわらかくなる」という情報があったので期待を込めていましたが、期待以上でした！シャンプーを流してもネットリするので、べたつくのかと思いきやトリートメントは以外にあっさりした使用感で、トリートメントを流した後は髪トゥルントゥルンで乾かした後はツヤがでます（天使の輪が出来る）。しかもオイルシャンプーなのでクレンジング効果があるのか、頭皮はさっぱりして、１日経っても皮脂の臭いもあまりしません。香りも控えめで上品な香りで（私にはマスカットの香りに感じる）控えめなのに残り香が持続します！私史上最高なシャンプーかもしれません。もちろんリピートします。お店の対応（配送、梱包など）も良かったです。
2018-06-24,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,初ノンシリコンシャンプー,最初はシリコンシャンプーよりも泡立たないので使いにくいと思っていましたが、慣れてきました。この商品を使い始めてから髪の毛が柔らかくなった気がします。
2018-06-13,4,"""KIDS MY LOVEさん"" ",https://review.rakuten.co.jp/my/ZjQ3MmM2MzhkNzNlNDExNw__/1.0.0.1/,40代 女性,実用品・普段使い,子供へ,はじめて,娘に頼まれて,初めての購入ですが、香りや使用感、髪を乾かしたあとの手触りなど気に入ったようです。
2018-06-13,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","ダメージタイプを購入。香りも少し甘い感じで心地良いです。　

髪を乾かした後、サラサラになります！"
2018-06-03,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,少しパサつく,わたしの髪が傷んでいるのもあると思うのですが、他のオイルシャンプーに比べてやはりパサついてしまいます。香りと使い心地は良いです。
2018-05-24,3,"ゲストさん"" ","
","
",趣味,自分用,はじめて,ダイアン ボタニカル オイルシャンプー,とにかくふつうです。安いから仕方ないけど、個人的にはちょっときしむ感じがしました。リピはないかな。
2018-04-20,5,"""88利88さん"" ",https://review.rakuten.co.jp/my/ZmQ0YjM4ZTllNGU2MTgxYQ__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,髪に優しい。,お試し用のモイストとダメージ両方使ってみてダメージを選びました。ひどいくせ毛なのですがこのシャンプーとコンディショナーを使うと翌朝の髪のまとまりがとても良いように感じます。香りも爽やかで好きです。値段も安いし娘と一緒に使います。
2018-04-19,4,"""ママちん9924さん"" ",https://review.rakuten.co.jp/my/YTNmNjI5MmQ1MDVlODMxZg__/1.0.0.1/,30代 女性,"
","
","
","
",このシャンプ-サラサラになる。気に入りました。においは、あまり好きじゃないかな
2018-04-02,5,"""sachy0914さん"" ",https://review.rakuten.co.jp/my/Y2RkNDA0Y2FhNTJkZDk_/1.0.0.1/,30代 女性,"
","
","
",良いシャンプー,"今までダイアンのストレートを使っていてなくなったのでこちらのボタニカに変更しました。　

とても良い商品です。香りが強くないのもおすすめです。"
2017-12-23,5,"""ひなたばあちゃまさん"" ",https://review.rakuten.co.jp/my/YjdkYzYyMzdhYTliODAxZQ__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,"
","いても早い配達助かります　

値段も安いです"
2017-11-02,5,"""猫大好きドラ猫さん"" ",https://review.rakuten.co.jp/my/MTYwNDYzYzNlMTE1MjY_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,香りがたまらない,"某美容師さんのシャンプー解析で市販の中ではこのシャンプーをおススメされていたので、店頭で香りをチェックしてみたところ、好みドンピシャの香りだったので買いました。　

シットリサラサラになるし洗い心地もいいけど、何よりこの香りにとても癒されて毎晩使うのが楽しみです！　

なくなったら絶対リピします！"
2017-10-22,4,"""babynatsuさん"" ",https://review.rakuten.co.jp/my/MGIyZTQzMzc5ODJhN2Y_/1.0.0.1/,40代 女性,"
","
","
",ノンシリコンって,"泡立ちがイマイチで苦手だったのですが、こちらの商品は泡立ちがいいです。　

ノンシリコンにありがちな、キュッという感じもなくて好きです。　

お値段もお手頃で、また購入したいです。"
2017-09-15,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,しっとり。,使用後に自然乾燥してしまうと、髪がバサバサになりますが、きちんとドライヤーをかけると、とても手触りがよく、髪に艶がでました。翌朝のまとまりもよくなりました。でも、後日見たら近くのドラッグストアーの方が安かったです。
2017-09-02,5,"""nyaaaaanchuさん"" ",https://review.rakuten.co.jp/my/NTE0MzM3ZTkxNjU2OWQ_/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,"
",とにかく香りが好き。泡立ちは問題ないです。指通りは良くなりますし、頭皮も痒くなりません。こちらのショップで購入するのがとてもお得です。また利用させていただきます。
2017-08-22,4,"""まい３２８７さん"" ",https://review.rakuten.co.jp/my/ZmU4Y2ZhYzgyNjFmODM_/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,パサついた髪に,前に使っていたシャンプーが生産されていないようなので、はじめて購入しました。癒される香りに包まれて気持ちよくシャンプーできます。が、思ったより、しっとり感はないような気がします。
2017-08-19,5,"""もっち144913さん"" ",https://review.rakuten.co.jp/my/MTU0ZWQ5NzlkMGQ1NGExMg__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,しあがりが違います♪,子供も使えると思い、安い無添加のシャンプーに替えたら髪の毛がバサバサになってしまい、いいシャンプーを探していました。このシャンプーは香りも成分も良く仕上がりもパサパサせずに美容院に行ったかの様にサラサラにしあがります☆また買いたいです♪
2017-08-09,5,"""potetoloveさん"" ",https://review.rakuten.co.jp/my/YTczZTA3YWVjNWY1Mjg_/1.0.0.1/,30代 男性,実用品・普段使い,自分用,はじめて,乾かした後、翌日が◎,"流行りのオシャレパッケージのシャンプーがあまり合わなくて、最近髪の状態が良くないのでドラッグストアでお試し用を使ったところドライヤーで乾かした後の髪の収まりが良かったので購入しました。　

洗った直後のスッキリ感がないので、失敗だったかなと思ってたのですが乾かしていくうちに髪がツヤツヤしてまとまりが良くサラサラになるのを実感しました。　

頭皮の痒みが起きないのもいいです！　

しばらく使って様子を見たいと思います(^_^)　

あと、発送が早くて嬉しかったです。"
2017-06-11,5,"""pansyemmaさん"" ",https://review.rakuten.co.jp/my/MDk2YzA2YTdhMTA3Yjc_/1.0.0.1/,70代以上 女性,実用品・普段使い,家族へ,はじめて,ボタニカルシャンプー＆トリートメント,孫が少し皮膚アレルギーがあり、安心して使用できるのでこの商品を購入。優しい使用感で家族全員安心して使える。
2017-04-27,5,"""ゆうgoldさん"" ",https://review.rakuten.co.jp/my/Nzk5ZGQxNTY3ZWRmMzQxYw__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,とても良いです。,ジュ○○ムやラ○○スのノンシリコンを使ってましたが香りもよく毛質がいいと家族で気にって使てます。
2017-04-05,5,"""☆★みなぞうさん★☆さん"" ",https://review.rakuten.co.jp/my/MWJkNmFjOWZmZGEwMzQ_/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,モイストタイプ(グリーンボトル),子供も一緒に使えるので選びました。とても良い香りで、香りだけでリフレッシュ出来ます。髪質もしっとり艶やかになりました。
2017-03-19,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","ボタニカルを使用したくてダメージの方を購入しました。　

まだ数回しか使用していませんが…　

シャンプー後は絡まったりしないので気に入ってます。　

香りもキツくなくて良かったです。"
2017-02-13,5,"""招き猫7627さん"" ",https://review.rakuten.co.jp/my/OTc4M2ViN2MyYjdjNGExNQ__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,"
",産後パサパサになった私の髪も少し良くなった気がします。また購入させてもらいます。
2017-02-11,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,はじめの利用,初めて利用させて頂きました。とても敏速な対応で満足しております。
2017-02-10,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","泡立ちもいいし、何より子供も一緒に使えるところが気に入っています。　

頭皮が弱くかぶれやすいですが、これは悪化することもなく大丈夫でした。"
2017-02-01,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,痒くなりにくい,"30代女性 ピンク購入　

以前はボタニカを使っていましたが、こちらも良いとう意見を聞き購入しました。　

香り     柑橘系　

香り持続 あまりない　

使い心地 泡立ちにくい　

ダメージ ケアされている感じがする　

頭皮     痒みが出にくい　

使用3回現在でのレビューです。"
2017-01-11,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",朝しっとりしています。詰め替えもセットで買いました。買ってよかった！またリピします。
2016-12-09,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お気に入りです。,香もよく、髪に合うので気に入っています。近くに売っているお店がないので、こちらで購入できてよかったです。
2016-12-01,5,"""なかきょん55405さん"" ",https://review.rakuten.co.jp/my/ZGY3ODZhMWNiN2EwMjUxNw__/1.0.0.1/,40代 女性,実用品・普段使い,子供へ,はじめて,娘のリクエスト,娘のリクエストで購入しました。ストレートパーマをあて朝もヘアアイロンを必ず時間をかけてしていたのですがこの商品にしてから、アイロンの時間が短縮したように思います。
2016-11-06,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,シャンプー時から・・・,"シャンプーの時から指どおりが違います。　

やわらかくってリピートしてます☆　

匂いもいいです。"
2016-10-20,5,"""ハムの保母さんさん"" ",https://review.rakuten.co.jp/my/MmI0ZDQ5NTE4ZTk0YTA_/1.0.0.1/,60代 女性,実用品・普段使い,自分用,はじめて,気に入りました！,"今まで使用していたシャンプーは、丁寧に洗ってすすぎを十分しても、炎症が起きるのか、頭皮のかゆみが生じていました。この商品は、かゆみが起こりません。またオイル系なので、髪がしなやかになります。香りも優しい。　

「お試し」と、このボトル入り本品の両方を購入しましたが、大変気に入りました。"
2016-10-16,4,"ゲストさん"" ","
","
","
","
","
",いい匂い！,すごくいい匂いがするシャンプーで買って正解でした！
2016-10-04,4,"""☆緋姫☆さん"" ",https://review.rakuten.co.jp/my/ZGZiNDYzZDFiZDQ4Mzg_/1.0.0.1/,20代 男性,実用品・普段使い,家族へ,はじめて,サラサラになる,"使っていたシャンプーが売り切れていたので購入してみた。先日美容室にあった雑誌にシャンプーの特集で良質なシャンプーの２位に！　

早速使ったところ確かにサラサラしていい感じ。だが、すすいでもなかなかヌメリがとれないのはどうなんだろう…。オイルシャンプー特有なのかな？痛みの激しい髪なので髪自体はヌメリが残っても構わないのだが頭皮はサッパリスッキリしたい。"
2016-09-25,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",ダメージの方を使っています。パサパサの髪がおちつきこのまま続けて使おうと思ってます！
2016-09-24,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,匂い好きです,"傷んでバシバシなので　

しっとりしていていい感じです　

使い続けるほどしっくりきました"
2016-06-24,5,"ゲストさん"" ","
","
","
","
","
",注文後2.3日で届きました,一度 お試し用の小さなサイズを購入してから気に入り、今回通常のサイズを購入しました。香りも良く髪にも合ってます。他にも種類があるので次は別のも使ってみたいと思います。ありがとうございました
2016-06-04,5,"""まぐれがぁ☆さん"" ",https://review.rakuten.co.jp/my/YTVhMDNiY2E0MjE2M2MxMg__/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,リピート,緑のよりサラサラに,"私はボリュームのある髪です。　

緑の同じシリーズを買っていましたが、これが良くって。子どもにも使えるし。　

ただ、ピンクも試しにと購入。　

匂いは全く同じです（笑）なので、主人も使えるようなユニセックスな匂いですね。甘すぎず、男性っぽすぎず。　

そして、何よりこのダイアンボタニカルは頭皮が痒くならない。　

私は敏感肌なのですが、いいですねー。安定した使いごごちです。　

最初に流行った別の会社？の、白い透明なボトルのボタニカルのシャンプーしっとりを使ってました。　

が、べたつくわ、２日頭を洗ってないような髪で。確かに潤いますが、潤うというか、ベタベタというか。あのノンシリコン独特のべたつく感じが無理で・・。　

結果このダイアンボタニカルに行き着きましたが、髪はサラツヤ。　

緑も充分サラサラです。男性や、子どもにいいですね。　

ただ、私はカラーとパーマのダメージがあり、プラスボリュームもあるので、試しにピンクを使ってみたところいい！　

私は緑のよりもサラサラになったし、ボリュームも抑えられてます。　

ただ、髪の量が少ない方は充分緑でサラサラなので緑でいいかなっと思います。　

髪のダメージ量に合わせたり、髪の量で合わせるのが良いかと思います。　

シャンプー迷われているかた。透明ボトルのボタニカルを試したがイマイチだったかたにオススメです。"
2016-05-01,5,"""てんにゃんたろうさん"" ",https://review.rakuten.co.jp/my/YTdjNTZmYzZhY2FmM2UxMA__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,テレビCMを見て購入。,期待を込めての星５個ですが、試供品を使ったとき良い感じだったので多分大丈夫だと思います。
